year,month,day,hour,minute,runtime
2022,10,1,12,0,0.040000
2022,10,1,12,10,0.092000
2022,10,1,12,20,0.176000
2022,10,1,12,30,0.534000
2022,10,1,12,40,0.159000
2022,10,1,12,50,0.119000
2022,10,1,13,0,0.177000
2022,10,1,13,10,0.159000
2022,10,1,13,20,0.195000
2022,10,1,13,30,0.216000
2022,10,1,13,40,0.250000
2022,10,1,13,50,0.156000
2022,10,1,14,0,0.191000
2022,10,1,14,10,0.214000
2022,10,1,14,20,0.152000
2022,10,1,14,30,0.178000
2022,10,1,14,40,0.169000
2022,10,1,14,50,0.228000
2022,10,1,15,0,0.143000
2022,10,1,15,10,0.157000
2022,10,1,15,20,0.220000
2022,10,1,15,30,0.190000
2022,10,1,15,40,0.213000
2022,10,1,15,50,0.228000
2022,10,1,16,0,0.286000
2022,10,1,16,10,0.252000
2022,10,1,16,20,0.288000
2022,10,1,16,30,0.309000
2022,10,1,16,40,0.377000
2022,10,1,16,50,0.427000
2022,10,1,17,0,0.437000
2022,10,1,17,10,0.482000
2022,10,1,17,20,0.499000
2022,10,1,17,30,0.526000
2022,10,1,17,40,0.541000
2022,10,1,17,50,0.657000
2022,10,1,18,0,0.617000
2022,10,1,18,10,0.632000
2022,10,1,18,20,0.656000
2022,10,1,18,30,0.761000
2022,10,1,18,40,0.672000
2022,10,1,18,50,0.694000
2022,10,1,19,0,0.711000
2022,10,1,19,10,0.748000
2022,10,1,19,20,0.743000
2022,10,1,19,30,0.768000
2022,10,1,19,40,0.789000
2022,10,1,19,50,0.818000
2022,10,1,20,0,0.847000
2022,10,1,20,10,0.873000
2022,10,1,20,20,0.906000
2022,10,1,20,30,0.930000
2022,10,1,20,40,0.962000
2022,10,1,20,50,0.996000
2022,10,1,21,0,1.039000
2022,10,1,21,10,1.077000
2022,10,1,21,20,1.089000
2022,10,1,21,30,1.118000
2022,10,1,21,40,1.141000
2022,10,1,21,50,1.169000
2022,10,1,22,0,1.155000
2022,10,1,22,10,1.170000
2022,10,1,22,20,1.189000
2022,10,1,22,30,1.249000
2022,10,1,22,40,1.255000
2022,10,1,22,50,1.273000
2022,10,1,23,0,1.286000
2022,10,1,23,10,1.294000
2022,10,1,23,20,1.343000
2022,10,1,23,30,1.403000
2022,10,1,23,40,1.438000
2022,10,1,23,50,1.465000
