year,month,day,hour,minute,runtime
2022,10,1,0,0,0.163000
2022,10,1,0,10,0.162000
2022,10,1,0,20,0.153000
2022,10,1,0,30,0.243000
2022,10,1,0,40,0.246000
2022,10,1,0,50,0.329000
2022,10,1,1,0,0.226000
2022,10,1,1,10,0.302000
2022,10,1,1,20,0.217000
2022,10,1,1,30,0.146000
2022,10,1,1,40,0.232000
2022,10,1,1,50,0.247000
2022,10,1,2,0,0.366000
2022,10,1,2,10,0.375000
2022,10,1,2,20,0.244000
2022,10,1,2,30,0.217000
2022,10,1,2,40,0.225000
2022,10,1,2,50,0.221000
2022,10,1,3,0,0.213000
2022,10,1,3,10,0.202000
2022,10,1,3,20,0.135000
2022,10,1,3,30,0.134000
2022,10,1,3,40,0.133000
2022,10,1,3,50,0.129000
2022,10,1,4,0,0.135000
2022,10,1,4,10,0.151000
2022,10,1,4,20,0.149000
2022,10,1,4,30,0.154000
2022,10,1,4,40,0.157000
2022,10,1,4,50,0.154000
2022,10,1,5,0,0.153000
2022,10,1,5,10,0.157000
2022,10,1,5,20,0.153000
2022,10,1,5,30,0.154000
2022,10,1,5,40,0.158000
2022,10,1,5,50,0.169000
2022,10,1,6,0,0.166000
2022,10,1,6,10,0.169000
2022,10,1,6,20,0.168000
2022,10,1,6,30,0.167000
2022,10,1,6,40,0.171000
2022,10,1,6,50,0.179000
2022,10,1,7,0,0.195000
2022,10,1,7,10,0.211000
2022,10,1,7,20,0.252000
2022,10,1,7,30,0.266000
2022,10,1,7,40,0.288000
2022,10,1,7,50,0.349000
2022,10,1,8,0,0.213000
2022,10,1,8,10,0.173000
2022,10,1,8,20,0.172000
2022,10,1,8,30,0.176000
2022,10,1,8,40,0.224000
2022,10,1,8,50,0.231000
2022,10,1,9,0,0.275000
2022,10,1,9,10,0.202000
2022,10,1,9,20,0.254000
2022,10,1,9,30,0.253000
2022,10,1,9,40,0.169000
2022,10,1,9,50,0.189000
2022,10,1,10,0,0.205000
2022,10,1,10,10,0.214000
2022,10,1,10,20,0.150000
2022,10,1,10,30,0.158000
2022,10,1,10,40,0.167000
2022,10,1,10,50,0.148000
2022,10,1,11,0,0.154000
2022,10,1,11,10,0.136000
2022,10,1,11,20,0.134000
2022,10,1,11,30,0.130000
2022,10,1,11,40,0.125000
2022,10,1,11,50,0.162000
