year,month,day,hour,minute,runtime
2022,10,31,12,0,0.242000
2022,10,31,12,10,0.132000
2022,10,31,12,20,0.209000
2022,10,31,12,30,0.176000
2022,10,31,12,40,0.163000
2022,10,31,12,50,0.190000
2022,10,31,13,0,0.073000
2022,10,31,13,10,0.112000
2022,10,31,13,20,0.116000
2022,10,31,13,30,0.154000
2022,10,31,13,40,0.187000
2022,10,31,13,50,0.257000
2022,10,31,14,0,0.156000
2022,10,31,14,10,0.151000
2022,10,31,14,20,0.132000
2022,10,31,14,30,0.150000
2022,10,31,14,40,0.151000
2022,10,31,14,50,0.148000
2022,10,31,15,0,0.200000
2022,10,31,15,10,0.212000
2022,10,31,15,20,0.243000
2022,10,31,15,30,0.234000
2022,10,31,15,40,0.244000
2022,10,31,15,50,0.301000
2022,10,31,16,0,0.329000
2022,10,31,16,10,0.368000
2022,10,31,16,20,0.413000
2022,10,31,16,30,0.459000
2022,10,31,16,40,0.520000
2022,10,31,16,50,0.643000
2022,10,31,17,0,0.723000
2022,10,31,17,10,0.880000
2022,10,31,17,20,0.950000
2022,10,31,17,30,1.052000
2022,10,31,17,40,1.213000
2022,10,31,17,50,1.356000
2022,10,31,18,0,1.501000
2022,10,31,18,10,1.653000
2022,10,31,18,20,1.835000
2022,10,31,18,30,1.922000
2022,10,31,18,40,2.050000
2022,10,31,18,50,2.289000
2022,10,31,19,0,2.446000
2022,10,31,19,10,2.433000
2022,10,31,19,20,2.621000
2022,10,31,19,30,2.733000
2022,10,31,19,40,2.949000
2022,10,31,19,50,3.044000
2022,10,31,20,0,3.232000
2022,10,31,20,10,3.334000
2022,10,31,20,20,3.382000
2022,10,31,20,30,3.468000
2022,10,31,20,40,3.545000
2022,10,31,20,50,3.625000
2022,10,31,21,0,3.740000
2022,10,31,21,10,3.806000
2022,10,31,21,20,3.864000
2022,10,31,21,30,3.896000
2022,10,31,21,40,3.953000
2022,10,31,21,50,4.030000
2022,10,31,22,0,4.108000
2022,10,31,22,10,4.139000
2022,10,31,22,20,4.170000
2022,10,31,22,30,4.133000
2022,10,31,22,40,4.247000
2022,10,31,22,50,4.269000
2022,10,31,23,0,4.310000
2022,10,31,23,10,4.288000
2022,10,31,23,20,4.315000
2022,10,31,23,30,4.321000
2022,10,31,23,40,4.329000
2022,10,31,23,50,4.336000
