year,month,day,hour,minute,runtime
2022,10,31,0,0,0.006000
2022,10,31,0,10,0.053000
2022,10,31,0,20,0.011000
2022,10,31,0,30,0.024000
2022,10,31,0,40,0.054000
2022,10,31,0,50,0.051000
2022,10,31,1,0,0.115000
2022,10,31,1,10,0.144000
2022,10,31,1,20,0.235000
2022,10,31,1,30,0.307000
2022,10,31,1,40,0.384000
2022,10,31,1,50,0.336000
2022,10,31,2,0,0.403000
2022,10,31,2,10,0.313000
2022,10,31,2,20,0.077000
2022,10,31,2,30,0.080000
2022,10,31,2,40,0.090000
2022,10,31,2,50,0.090000
2022,10,31,3,0,0.076000
2022,10,31,3,10,0.112000
2022,10,31,3,20,0.114000
2022,10,31,3,30,0.119000
2022,10,31,3,40,0.134000
2022,10,31,3,50,0.138000
2022,10,31,4,0,0.133000
2022,10,31,4,10,0.140000
2022,10,31,4,20,0.148000
2022,10,31,4,30,0.150000
2022,10,31,4,40,0.111000
2022,10,31,4,50,0.100000
2022,10,31,5,0,0.125000
2022,10,31,5,10,0.100000
2022,10,31,5,20,0.105000
2022,10,31,5,30,0.129000
2022,10,31,5,40,0.150000
2022,10,31,5,50,0.174000
2022,10,31,6,0,0.222000
2022,10,31,6,10,0.325000
2022,10,31,6,20,0.240000
2022,10,31,6,30,0.240000
2022,10,31,6,40,0.589000
2022,10,31,6,50,0.340000
2022,10,31,7,0,0.207000
2022,10,31,7,10,0.258000
2022,10,31,7,20,0.177000
2022,10,31,7,30,0.334000
2022,10,31,7,40,0.386000
2022,10,31,7,50,0.248000
2022,10,31,8,0,0.336000
2022,10,31,8,10,0.344000
2022,10,31,8,20,0.203000
2022,10,31,8,30,0.237000
2022,10,31,8,40,0.286000
2022,10,31,8,50,0.325000
2022,10,31,9,0,0.335000
2022,10,31,9,10,0.368000
2022,10,31,9,20,0.410000
2022,10,31,9,30,0.467000
2022,10,31,9,40,0.331000
2022,10,31,9,50,0.355000
2022,10,31,10,0,0.358000
2022,10,31,10,10,0.394000
2022,10,31,10,20,0.398000
2022,10,31,10,30,0.420000
2022,10,31,10,40,0.473000
2022,10,31,10,50,0.493000
2022,10,31,11,0,0.523000
2022,10,31,11,10,0.541000
2022,10,31,11,20,0.550000
2022,10,31,11,30,0.585000
2022,10,31,11,40,0.611000
2022,10,31,11,50,0.651000
